	Hip	V	RA (deg)	Dec (deg)	Par(mas)	B-V	M_V	Sp

 	56321	7.26	173.2078213	18.00231851	21.12	3.88	0.51	

 	56326	6.68	173.21472343	-36.20912746	27.54	3.88	0.59	

 	56343	3.54	173.25107936	-31.85752405	25.23	0.55	0.95	

 	56362	7.81	173.30545367	38.85773669	19.51	4.26	0.65	

 	56363	7.74	173.30631677	-67.0545517	30.41	5.16	0.83	

 	56413	8.17	173.48716531	-48.81893849	23.61	5.04	0.73	

 	56423	7.29	173.52971937	65.24305731	23.27	4.12	0.55	

 	56445	5.76	173.59189996	3.060415	37.65	3.64	0.48	

 	56452	5.96	173.62480364	-32.83334205	104.84	6.06	0.81	

 	56466	11.16	173.65977286	-23.8701581	56.35	9.91	1.5	

 	56497	5.5	173.73751871	-49.1369474	15.72	1.48	1.04	

 	56519	6.57	173.80806521	-60.8945049	18.29	2.88	0.36	

 	56557	8.93	173.93385708	-87.26940521	17.09	5.09	0.71	

 	56570	9.34	173.95563508	24.61167542	29.9	6.72	0.98	

 	56573	5.26	173.98148244	-47.64152017	17.24	1.44	0.26	

 	56583	5.19	174.01089937	69.32325973	13.49	0.84	0.97	

 	56630	10.01	174.16899098	39.19161005	40.99	8.07	1.29	

 	56656	5.14	174.25334034	-61.28344643	14.11	0.89	1.11	

 	56666	7.32	174.28691929	85.61720871	15.41	3.26	0.39	

 	56706	7.47	174.39630992	-85.48649606	11.36	2.75	0.41	

 	56738	7.61	174.49700761	-1.59975481	25.4	4.63	0.56	

 	56770	5.56	174.58619878	43.62551361	21.91	2.26	0.35	

 	56797	7.03	174.65803316	-72.36861674	11.15	2.27	0.19	

 	56802	5.48	174.66648767	-13.20224958	37.06	3.32	0.52	

 	56829	8.22	174.74924888	42.32774572	50.61	6.74	0.98	

 	56830	6.4	174.75175926	-24.72050905	15.45	2.34	0.82	

 	56832	7.6	174.7549915	6.05819431	29.15	4.92	0.71	

 	56837	8.45	174.77670975	44.30551792	26.74	5.59	0.69	

 	56950	8.07	175.1208268	-64.46423063	21.34	4.72	0.61	

 	56955	8.5	175.12816799	3.65431914	24.27	5.43	0.77	

 	56960	7.41	175.1524966	-8.40562594	25.67	4.46	0.55	

 	56997	5.31	175.26260484	34.20256022	104.81	5.41	0.72	

 	56998	7.77	175.26253299	-44.40577927	79.91	7.28	1.06	

 	57013	5.54	175.33273307	-43.09567719	15.58	1.5	0.04	

 	57017	7.53	175.34423883	-26.66728204	19.8	4.01	0.5	

 	57021	6.86	175.35880947	-41.01795988	30.74	4.3	0.59	

 	57029	5.73	175.39375241	31.7459835	24.42	2.67	0.44	

 	57050	11.86	175.43788953	42.7521914	90.66	11.65	1.5	

 	57080	7.08	175.51647974	12.28521965	20.46	3.63	0.5	

 	57083	7.28	175.53111946	4.74725997	27.13	4.45	0.62	

 	57087	10.67	175.54378678	26.70854768	97.73	10.62	1.49	

 	57092	6.48	175.5617502	-75.22730303	29.08	3.8	0.53	

 	57137	6.38	175.72721843	-79.30636263	17.95	2.65	0.89	

 	57172	8.21	175.87539557	-58.00773148	32.79	5.79	0.91	

 	57217	6.97	175.98663331	-29.74779498	30.88	4.42	0.55	

 	57271	7.97	176.16400111	-29.88499842	33.03	5.56	0.81	

 	57274	8.97	176.17076193	30.96021872	38.65	6.91	1.11	

 	57291	7.47	176.21055164	-58.70353973	23.81	4.35	0.72	

 	57328	4.84	176.32085333	8.25817475	27.29	2.02	0.17	

 	57349	8.06	176.37925145	47.66758659	19.17	4.47	0.62	

 	57350	8.78	176.38056751	65.54079855	25.67	5.83	0.79	

 	57352	7.99	176.38345869	-71.24481212	20.61	4.56	0.68	

 	57370	8.07	176.42667979	2.82175422	34.51	5.76	0.83	

 	57387	8.8	176.4838011	72.09554138	36.31	6.6	1.17	

 	57399	3.69	176.51305887	47.77933701	16.64	-0.2	1.18	

 	57433	7.68	176.61421446	-24.97617036	18.82	4.05	0.55	

 	57443	4.89	176.63436255	-40.50133452	108.23	5.06	0.66	

 	57477	5.27	176.73170252	55.62826771	15.8	1.26	1.28	

 	57488	6.94	176.75397911	23.72044618	25.77	4.0	0.52	

 	57493	9.51	176.76434019	50.97206679	40.61	7.55	1.25	

 	57507	6.48	176.81661416	-30.28595727	56.26	5.23	0.68	

 	57544	10.8	176.91319098	78.68999275	185.48	12.14	1.57	

 	57548	11.12	176.93351286	0.80752617	299.58	13.5	1.75	

 	57562	5.31	176.97888233	8.24586534	16.97	1.46	0.04	

 	57587	6.24	177.09812514	-10.3128395	23.49	3.09	0.58	

 	57629	6.15	177.25584223	-0.31867805	29.26	3.48	0.52	

 	57632	2.14	177.26615977	14.57233687	90.16	1.92	0.09	

 	57645	9.25	177.30532272	-20.34302704	25.43	6.28	0.9	

 	57670	5.73	177.42416287	34.9317394	14.39	1.52	0.47	

 	57757	3.59	177.67202553	1.76537705	91.74	3.4	0.52	

 	57779	6.37	177.73092864	12.27897116	18.08	2.66	0.29	

 	57802	9.76	177.78138205	35.27139762	116.92	10.1	1.48	

 	57805	6.25	177.78964274	33.37496331	15.87	2.25	0.34	

 	57814	7.55	177.83700756	-68.86087809	13.65	3.23	0.47	

 	57819	6.34	177.84183475	-12.18792174	22.25	3.08	0.41	

 	57841	5.85	177.92340338	-30.83409571	31.81	3.36	0.55	

 	57866	8.4	178.03466294	18.75591791	39.48	6.38	0.86	

 	57939	6.42	178.23256802	37.73280827	109.21	6.61	0.75	

 	57960	6.62	178.32002679	-36.57726344	17.17	2.79	0.33	

 	57992	8.28	178.42412743	86.2297745	32.39	5.83	0.72	

 	58001	2.41	178.45725536	53.69473296	38.99	0.36	0.04	

 	58024	8.08	178.51378672	-67.66952931	14.67	3.91	1.04	

 	58029	8.44	178.52255891	-29.98244944	22.42	5.19	0.72	

 	58067	8.2	178.63477708	19.41126815	27.01	5.36	0.71	

 	58085	6.38	178.68590817	-66.37603942	23.09	3.2	0.41	

 	58110	5.58	178.76313138	8.44390534	19.45	2.02	0.94	

 	58121	8.4	178.81473879	-66.40892783	24.18	5.32	0.69	

 	58180	8.59	178.98832926	-77.00841277	21.3	5.23	0.7	

 	58242	6.26	179.18343317	-47.07243569	18.52	2.6	0.41	

 	58254	7.94	179.21302705	-38.84927284	20.99	4.55	0.65	

 	58263	7.13	179.23193399	-12.10786086	18.84	3.51	0.5	

 	58264	6.54	179.2341974	-13.75420997	18.38	2.86	0.59	

 	58268	6.73	179.25160936	-4.78278855	20.02	3.24	0.49	

 	58287	6.6	179.31126898	40.34388969	21.62	3.27	0.51	

 	58290	8.16	179.31561846	-48.74347111	24.54	5.11	0.61	

 	58293	8.93	179.31882854	-26.14175129	37.41	6.79	1.02	

 	58301	6.68	179.33562442	-49.3600936	16.79	2.81	0.35	

 	58314	8.07	179.37155136	19.98377097	34.39	5.75	0.83	

 	58315	9.05	179.3751073	-39.21774724	21.92	5.75	0.8	

 	58317	7.01	179.37896782	-27.05578529	18.34	3.33	0.42	

 	58331	6.58	179.43902935	-8.54876585	17.42	2.79	0.57	

 	58345	6.99	179.48716146	-27.70553634	98.16	6.95	1.13	

 	58363	7.09	179.51555167	-31.65084859	18.83	3.46	0.48	

 	58368	6.93	179.5286681	-4.37065055	18.41	3.26	0.41	

 	58369	6.42	179.53020284	32.2740587	21.09	3.04	0.33	

 	58374	8.7	179.54922864	-23.92375602	38.44	6.62	0.98	

 	58380	6.76	179.5655063	-47.97689113	27.86	3.98	0.53	

 	58397	9.47	179.61692223	-23.63611184	25.76	6.52	0.92	

 	58401	8.91	179.6192338	-41.92136197	31.35	6.39	0.78	

 	58451	7.92	179.79133711	-20.35275134	48.04	6.33	0.97	

 	58536	8.4	180.06067548	5.36383329	27.81	5.62	0.76	

 	58558	8.23	180.11466544	-4.54845202	23.36	5.07	0.75	

 	58560	9.18	180.12008988	22.54836877	28.73	6.47	0.93	

 	58576	5.54	180.18486353	-10.44483921	77.48	4.99	0.76	

 	58619	8.45	180.31763738	79.08745873	16.8	4.58	0.61	

 	58708	6.64	180.6216389	43.08532391	18.05	2.92	0.86	

 	58758	4.32	180.75707974	-63.31294495	14.19	0.08	0.28	

 	58803	5.15	180.9138115	-42.43378714	41.32	3.23	0.42	

 	58863	9.85	181.07337455	9.19298138	31.56	7.35	1.07	

 	58874	6.27	181.11887598	85.58691106	13.11	1.86	0.56	

 	58876	7.92	181.140891	66.33646113	20.86	4.52	0.6	

 	58919	8.66	181.23727898	17.47714549	25.26	5.67	0.77	

 	58940	7.51	181.28003837	33.75004307	19.73	3.99	0.55	

 	58949	8.16	181.3034516	-1.50917766	30.58	5.59	0.75	

 	58950	7.78	181.30530872	-28.71623167	27.73	4.99	0.65	

 	59024	7.69	181.52510738	49.15840736	18.29	4.0	0.53	

 	59072	4.14	181.72022021	-64.61363898	50.79	2.67	0.35	

 	59111	6.81	181.81741886	-64.68179312	16.09	2.84	0.47	

 	59135	6.72	181.89737564	-31.41029572	30.43	4.14	0.53	

 	59143	6.72	181.91236753	-23.97528514	26.07	3.8	0.61	

 	59175	7.33	182.02946992	39.65551569	21.77	4.02	0.52	

 	59199	4.02	182.10313607	-24.72877993	67.71	3.17	0.33	

 	59207	7.7	182.13915111	65.34963503	18.75	4.07	0.57	

 	59258	7.51	182.33548592	53.39476878	17.32	3.7	0.35	

 	59280	7.46	182.40623465	40.25218003	41.07	5.53	0.79	

 	59291	6.34	182.44619077	74.66136609	13.85	2.05	0.51	

 	59294	6.87	182.45457883	77.39029588	12.26	2.31	1.03	

 	59296	8.46	182.48043398	-46.20818797	49.72	6.94	1.14	

 	59309	5.72	182.51463175	5.80696343	22.81	2.51	0.35	

 	59315	8.16	182.52751381	-49.18059169	26.43	5.27	0.71	

 	59321	9.22	182.54841658	4.3087226	30.65	6.65	0.96	

 	59378	10.61	182.73701589	41.05721814	47.05	8.97	1.34	

 	59380	7.52	182.74107163	-46.32239142	26.55	4.64	0.57	

 	59382	8.07	182.74852515	22.86200114	23.31	4.91	0.77	

 	59394	5.45	182.76617138	-23.60237239	17.82	1.7	0.06	

 	59406	11.67	182.79954834	-19.96012739	78.14	11.13	1.56	

 	59422	6.95	182.84107311	-3.7787178	19.9	3.44	0.45	

 	59433	6.59	182.86876154	-44.2827584	23.69	3.46	0.47	

 	59439	6.23	182.8819618	-51.35917843	18.73	2.59	0.82	

 	59448	6.8	182.90854948	-54.41764059	18.9	3.18	0.56	

 	59496	10.05	183.02126673	58.92639872	35.24	7.79	1.28	

 	59504	5.14	183.04963833	77.61619242	29.7	2.5	0.36	

 	59514	9.71	183.08594231	54.4855332	65.29	8.78	1.38	

 	59532	7.43	183.12165417	-3.08549214	29.5	4.78	0.7	

 	59572	7.92	183.23919543	10.03858627	32.3	5.47	0.79	

 	59589	7.57	183.30463912	10.82308982	29.5	4.92	0.67	

 	59608	5.85	183.35831031	10.26236039	20.18	2.37	0.26	

 	59610	7.41	183.37289681	10.04231745	26.71	4.54	0.64	

 	59639	8.63	183.46750195	-69.06072942	31.54	6.12	0.89	

 	59707	7.47	183.67627238	-24.77510351	35.56	5.22	0.71	

 	59726	7.49	183.74018101	-41.13923314	32.6	5.06	0.65	

 	59767	6.27	183.83612872	87.69998919	21.48	2.93	0.35	

 	59774	3.32	183.85603795	57.03259792	40.05	1.33	0.08	

 	59803	2.58	183.95194937	-17.5419837	19.78	-0.94	-0.11	

 	59819	5.09	184.00097886	14.89914477	16.49	1.18	0.07	

 	59865	6.97	184.16006667	-63.1979216	14.9	2.84	0.6	

 	59879	6.33	184.20562629	86.43584319	25.24	3.34	0.44	

 	59923	5.71	184.37748884	28.93710321	18.74	2.07	0.16	

 	60000	4.24	184.58726633	-79.31226899	12.05	-0.36	-0.12	

 	60016	8.76	184.62353776	-42.4271877	21.99	5.47	0.84	

 	60018	6.23	184.631536	30.24933506	18.06	2.51	0.31	

 	60044	5.47	184.70860512	75.1605502	11.29	0.73	0.05	

 	60048	7.95	184.72509422	-40.12767312	22.88	4.75	0.61	

 	60074	7.04	184.7775347	16.54865721	35.07	4.76	0.6	

 	60093	10.62	184.85216737	28.38217879	40.58	8.66	1.44	

 	60098	6.38	184.8735876	28.15722194	20.12	2.9	0.52	

 	60119	6.85	184.94087542	-76.80088463	17.89	3.11	0.45	

 	60168	6.16	185.07434995	26.00182892	16.5	2.25	0.31	

 	60170	5.52	185.08216696	26.6197509	20.78	2.11	1.09	

 	60207	8.99	185.19605519	-19.89591331	33.64	6.62	1.01	

 	60221	5.14	185.23214915	-13.56574902	16.61	1.24	1.05	

 	60230	7.31	185.26473417	25.03131529	20.05	3.82	0.88	

 	60268	8.23	185.36874795	61.74788833	24.27	5.16	0.62	

 	60303	9.36	185.47473564	42.13514194	62.54	8.34	1.35	

 	60310	8.54	185.49932382	-41.05897785	41.49	6.63	1.06	

 	60331	7.97	185.55273473	73.2480346	23.16	4.79	0.74	

 	60370	6.7	185.68615139	-39.17732244	39.02	4.66	0.64	

 	60417	6.36	185.81266771	-67.63217115	19.69	2.83	0.89	

 	60475	10.39	185.97303737	12.58066308	47.11	8.76	1.44	

 	60497	7.75	186.04230935	-57.91821352	20.05	4.26	0.56	

 	60541	7.97	186.16420272	5.03551648	20.97	4.58	0.58	

 	60551	8.03	186.19302339	38.31858319	26.94	5.18	0.58	

 	60559	11.28	186.21595803	-18.23667929	112.52	11.54	1.57	

 	60588	7.38	186.27068676	60.69736907	23.54	4.24	0.57	

 	60591	6.1	186.28593652	-42.51425806	18.96	2.49	0.65	

 	60595	5.95	186.29917028	-11.61051268	15.49	1.9	0.04	

 	60598	6.85	186.30900104	-25.98655355	19.37	3.29	0.4	

 	60601	6.29	186.32342553	-65.76961193	20.87	2.89	0.96	

 	60605	8.73	186.32811968	31.86483392	34.64	6.43	0.9	

 	60644	6.99	186.44379342	-64.02194007	25.93	4.06	0.54	

 	60646	5.01	186.46248809	39.01869867	14.35	0.79	0.95	

 	60729	6.25	186.70296553	-48.91299818	37.5	4.12	0.67	

 	60739	8.47	186.72476307	69.72993287	18.83	4.84	0.66	

 	60742	4.35	186.73469831	28.26861975	19.18	0.76	1.13	

 	60808	8.72	186.95302851	-50.33691778	27.42	5.91	0.87	

 	60816	6.75	186.9817641	-8.67790512	34.41	4.43	0.58	

 	60825	7.43	187.01122571	-68.73221923	20.53	3.99	0.47	

 	60829	8.31	187.0176048	-15.65178946	21.67	4.99	0.71	

 	60853	9.45	187.0810869	-16.91115889	35.3	7.19	0.96	

 	60866	9.24	187.13120324	-18.29685881	40.09	7.26	1.22	

 	60870	6.15	187.14099776	-56.40726625	23.68	3.02	0.92	

 	60910	11.99	187.24149764	8.42614568	73.77	11.33	1.67	

 	60946	7.73	187.38772799	56.33239561	16.82	3.86	0.64	

 	60965	2.94	187.4665965	-16.51509397	37.11	0.79	-0.01	

 	60988	6.21	187.5129321	51.53556985	22.15	2.94	0.54	

 	61016	9.08	187.57347592	30.99416027	31.4	6.56	1.01	

 	61044	7.91	187.67539834	50.97499729	21.02	4.52	0.7	

 	61053	6.2	187.70882191	53.07616553	45.58	4.49	0.57	

 	61072	7.33	187.75304414	31.42376982	22.73	4.11	0.53	

 	61084	1.59	187.79137202	-57.11256922	37.09	-0.56	1.6	

 	61094	9.74	187.81741889	8.81187017	74.58	9.1	1.44	

 	61099	7.91	187.82627565	20.21822902	39.62	5.9	0.86	

 	61154	7.09	187.97083527	-58.29062354	16.66	3.2	0.42	

 	61158	5.96	187.98397037	-63.50589876	13.56	1.62	0.26	

 	61174	4.3	188.01868646	-16.19586556	54.92	3.0	0.39	

 	61212	5.74	188.15036083	-13.85897407	27.06	2.9	0.38	

 	61291	7.13	188.38442385	-68.75504919	61.83	6.09	0.84	

 	61293	7.5	188.39156877	72.47919638	20.83	4.09	0.57	

 	61296	5.58	188.3927875	-12.83032829	20.58	2.15	0.86	

 	61310	7.48	188.41330708	44.09640322	18.53	3.82	0.54	

 	61313	9.37	188.41771755	-54.92341796	26.75	6.51	0.94	

 	61317	4.24	188.43788561	41.35676779	119.46	4.63	0.59	

 	61328	6.38	188.49690379	-49.90969306	14.85	2.24	0.43	

 	61329	9.1	188.50019977	-14.63859695	39.11	7.06	1.1	

 	61359	2.65	188.59680864	-23.39662306	23.34	-0.51	0.89	

 	61379	5.76	188.67690229	-44.67251655	35.25	3.5	0.68	

 	61385	8.75	188.68557419	15.80774702	24.01	5.65	0.84	

 	61391	8.82	188.70372875	-41.2347716	31.91	6.34	0.9	

 	61396	7.21	188.71503454	85.73216141	11.35	2.48	0.25	

 	61413	11.4	188.75404727	9.82926595	55.79	10.13	1.43	

 	61443	6.22	188.87410771	-61.84139792	21.58	2.89	0.73	

 	61451	7.84	188.89047766	-34.88159197	46.19	6.16	1.02	

 	61468	5.12	188.94006062	-41.02194744	28.92	2.43	0.22	

 	61476	8.04	188.95543238	-20.46580488	27.0	5.2	0.69	

 	61481	8.52	188.96326263	51.22148513	38.08	6.42	0.95	

 	61498	5.78	189.00447532	-39.86944684	14.91	1.65	0.0	

 	61505	7.89	189.02790798	-42.85215194	21.23	4.52	0.67	

 	61522	9.18	189.07219012	77.55204443	20.28	5.72	0.76	

 	61578	6.95	189.27807435	-2.32174859	21.48	3.61	0.48	

 	61585	2.69	189.29618208	-69.13553358	10.67	-2.17	-0.18	

 	61619	7.34	189.41300088	38.68455831	18.98	3.73	0.5	

 	61621	5.41	189.42594398	-27.13865883	28.91	2.72	0.33	

 	61622	3.85	189.42636588	-48.54128816	24.77	0.82	0.05	

 	61674	7.21	189.63697709	45.21717883	15.9	3.22	0.41	

 	61688	6.0	189.68619461	-18.2501648	16.07	2.03	0.31	

 	61692	6.35	189.69290042	40.87469516	15.27	2.27	0.2	

 	61706	11.49	189.72137356	11.69676063	65.04	10.56	1.48	

 	61731	7.33	189.7962725	83.64407107	12.98	2.9	0.6	

 	61739	8.99	189.81078128	29.23599051	23.82	5.87	0.86	

 	61811	7.88	190.01737051	68.80236893	22.25	4.62	0.61	

 	61840	7.03	190.09171823	-49.4003858	18.49	3.36	0.6	

 	61874	12.24	190.19549326	-43.56806218	130.52	12.82	1.75	

 	61901	7.91	190.27670276	15.37756957	69.94	7.13	1.11	

 	61946	8.27	190.43497984	55.72468476	43.06	6.44	0.95	

 	61960	4.88	190.47086482	10.23584294	27.1	2.04	0.08	

 	61995	6.64	190.57453819	33.68883919	17.57	2.86	1.07	

 	61998	8.44	190.58245136	-39.93613967	27.45	5.63	0.71	

 	62016	8.04	190.66221605	2.5768048	32.71	5.61	0.8	

 	62036	9.06	190.73418368	-2.25123327	27.14	6.23	0.93	

 	62039	7.83	190.74772308	-4.04889355	21.51	4.49	0.68	

 	62107	7.53	190.92994488	-37.70763748	37.96	5.43	0.66	

 	62175	8.01	191.12177074	58.69086299	22.1	4.73	0.66	

 	62207	5.95	191.24865101	39.27857766	57.57	4.75	0.56	

 	62229	7.82	191.31096071	-57.35768284	49.71	6.3	0.94	

 	62268	4.69	191.40798434	-60.98116057	26.17	1.78	1.05	

 	62277	7.13	191.42851251	-50.17966062	20.35	3.67	0.45	

 	62325	5.65	191.59324849	9.54078962	22.36	2.4	0.99	

 	62333	8.79	191.60939187	-57.95048088	33.82	6.44	1.1	

 	62345	6.87	191.62921655	-11.81257452	32.79	4.45	0.69	

 	62349	6.83	191.63654937	24.14557627	22.98	3.64	0.54	

 	62402	5.88	191.82885595	62.78113875	15.85	1.88	0.22	

 	62406	9.86	191.8337412	31.21420625	34.19	7.53	1.27	

 	62437	6.82	191.95156675	50.15696438	15.36	2.75	0.39	

 	62452	11.39	191.98842235	9.75251785	121.78	11.82	1.56	

 	62523	6.29	192.19693108	24.84048369	58.23	5.12	0.7	

 	62527	7.36	192.20751772	61.37814013	26.32	4.46	0.63	

 	62536	7.1	192.21784272	12.09671263	27.61	4.31	0.66	

 	62556	10.94	192.26409622	66.11044073	98.14	10.9	1.63	

 	62607	8.13	192.43697841	1.18960395	30.12	5.52	0.69	

 	62636	6.99	192.52204376	-7.63222915	20.64	3.56	0.43	

 	62661	7.61	192.58534645	-30.5771608	19.56	4.07	0.6	

 	62687	8.49	192.68160072	-0.76716459	92.75	8.33	1.41	

 	62776	7.83	192.96656203	0.08507783	17.53	4.05	0.54	

 	62788	6.14	192.99153012	-26.7383519	16.62	2.24	0.23	

 	62809	8.48	193.05154956	-56.57390804	22.09	5.2	0.62	

 	62857	7.66	193.25707451	26.79448024	18.22	3.96	0.62	

 	62875	6.11	193.29712947	-3.55308979	30.75	3.55	0.49	

 	62896	4.25	193.35894159	-40.17881857	21.03	0.86	0.22	

 	62904	6.42	193.38416881	19.48149121	22.71	3.2	0.81	

 	62925	7.69	193.4278406	-27.40419309	20.9	4.29	0.52	

 	62933	6.25	193.45697842	12.41850095	16.4	2.32	0.28	

 	62942	8.24	193.47723043	6.76267282	38.12	6.15	0.85	

 	62956	1.76	193.5068041	55.95984301	40.3	-0.21	-0.02	

 	63033	5.89	193.74460949	-44.15140639	25.17	2.89	0.63	

 	63048	7.8	193.78446588	27.76653616	23.84	4.69	0.67	

 	63070	7.25	193.84128248	-4.50430311	16.95	3.4	0.8	

 	63076	5.23	193.8689797	65.43854743	34.67	2.93	0.3	

 	63099	7.65	193.92078334	-3.55070403	19.17	4.06	0.47	

 	63157	10.04	194.12511776	-24.92494587	32.79	7.62	1.23	

 	63205	7.7	194.2462874	-60.14291976	19.35	4.13	0.55	

 	63257	9.11	194.4340298	-14.46356844	43.13	7.28	1.12	

 	63330	7.21	194.67035441	22.04348459	17.1	3.37	0.59	

 	63346	8.07	194.70728324	68.78464293	29.07	5.39	0.68	

 	63366	7.54	194.75855022	-9.83456221	47.6	5.93	0.77	

 	63411	7.65	194.90601827	-64.37126613	15.88	3.65	0.49	

 	63419	8.7	194.9395865	-4.43021158	24.67	5.66	0.78	

 	63467	9.78	195.07277382	-2.70480346	38.71	7.72	1.19	

 	63491	6.58	195.14003738	-33.05118134	18.23	2.88	0.3	

 	63497	6.2	195.16190005	18.37286539	24.49	3.14	0.47	

 	63530	7.56	195.27796498	-33.48002915	22.44	4.32	0.57	

 	63584	6.01	195.4464669	63.61016308	26.72	3.14	0.43	

 	63608	2.85	195.54483557	10.95910186	31.9	0.37	0.93	

 	63618	8.35	195.58664003	-26.7866182	56.87	7.12	1.22	

 	63625	7.82	195.60047829	59.245961	14.8	3.67	0.47	

 	63636	7.51	195.63996681	32.43313939	31.86	5.03	0.66	

 	63724	4.83	195.88894965	-49.52723627	14.97	0.71	0.03	

 	63833	9.05	196.24261916	-52.44099	63.66	8.07	1.36	

 	63894	9.26	196.42229676	49.47159535	45.69	7.56	1.17	

 	63973	8.48	196.64665813	-49.68579439	30.6	5.91	0.81	

 	64048	9.28	196.89648916	34.40167641	41.9	7.39	1.18	

 	64057	8.15	196.9161456	24.00945288	27.3	5.33	0.69	

 	64059	8.55	196.92043059	24.01957388	26.15	5.64	0.77	

 	64076	8.5	196.97254845	62.98310697	20.75	5.09	0.63	

 	64109	8.2	197.08586661	-87.21951279	27.1	5.36	0.72	

 	64150	6.78	197.21239048	5.2088695	38.07	4.68	0.67	

 	64208	7.03	197.38878142	56.8332426	18.57	3.37	0.6	

 	64246	5.91	197.51361945	38.49887224	16.12	1.95	0.29	

 	64262	9.31	197.57027392	9.53646613	35.87	7.08	1.02	

 	64275	8.88	197.59072235	67.49486859	29.73	6.25	0.92	

 	64295	8.73	197.66634006	-35.05399258	35.66	6.49	0.98	

 	64348	5.24	197.84711464	-43.36850529	14.76	1.09	1.05	

 	64390	5.92	197.96408969	-69.94201974	22.67	2.7	0.41	

 	64394	4.23	197.97051117	27.87603769	109.23	4.42	0.57	

 	64407	5.04	198.01451923	-16.1979034	30.72	2.48	0.46	

 	64408	4.85	198.01444495	-37.80313606	48.83	3.29	0.69	

 	64441	9.52	198.12113717	-60.19379126	33.89	7.17	1.04	

 	64457	7.56	198.18277753	-2.26506302	48.95	6.01	0.93	

 	64459	6.68	198.18498477	-31.87259921	28.57	3.96	0.59	

 	64475	8.03	198.22684745	-30.71212756	37.45	5.9	0.92	

 	64484	6.83	198.26457518	38.27738359	16.41	2.91	0.47	

 	64527	6.57	198.38311624	72.79913223	11.36	1.85	0.09	

 	64532	6.82	198.40370674	56.70831399	38.92	4.77	0.6	

 	64550	6.93	198.46798635	-45.18553071	40.87	4.99	0.64	

 	64577	5.31	198.54570701	-19.93133468	25.89	2.38	0.86	

 	64583	4.9	198.56428372	-59.10285946	55.49	3.62	0.49	

 	64655	7.27	198.80131614	84.75210233	18.64	3.62	0.53	

 	64688	8.06	198.87809348	-8.05530078	22.7	4.84	0.7	

 	64690	7.11	198.8728529	-87.56030424	40.52	5.15	0.71	

 	64726	8.39	198.99692724	4.64674522	20.58	4.96	0.62	

 	64747	8.29	199.04607423	35.88628889	22.39	5.04	0.64	

 	64761	8.24	199.08279336	27.73529151	22.69	5.02	0.72	

 	64792	5.19	199.19463902	9.423693	55.71	3.92	0.58	

 	64880	11.28	199.49353344	36.29995254	46.25	9.61	1.36	

 	64901	7.57	199.53607719	83.89907995	12.63	3.08	0.41	

 	64924	4.74	199.60405	-18.30861062	117.3	5.09	0.71	

 	64962	2.99	199.7302224	-23.17141246	24.69	-0.05	0.92	

 	64979	6.01	199.76780333	35.12793546	15.34	1.94	0.28	

 	64984	7.69	199.77865149	2.90356362	29.57	5.04	0.67	

 	65036	7.43	199.96369673	-70.85494655	23.05	4.24	0.74	

 	65046	6.73	199.99396293	-41.19069489	18.25	3.04	0.52	

 	65049	8.01	200.00757439	38.15939294	19.81	4.49	0.71	

 	65085	7.3	200.10738704	17.58050032	17.27	3.49	0.42	

 	65091	8.12	200.113039	43.11138103	29.08	5.44	0.82	

 	65100	8.54	200.12586392	-66.5334836	21.87	5.24	0.67	

 	65109	2.75	200.15027321	-36.71208109	55.64	1.48	0.07	

 	65116	8.37	200.16374374	-14.77237772	24.36	5.3	0.65	

 	65121	8.58	200.18363162	4.13245654	32.83	6.16	0.94	

 	65143	10.62	200.24044732	34.27966699	62.13	9.59	1.51	

 	65165	8.48	200.30146013	61.08471334	25.29	5.49	0.76	

 	65241	5.89	200.54054052	5.15485074	15.7	1.87	0.11	

 	65268	7.64	200.64273402	26.1156572	19.04	4.04	0.48	

 	65302	7.88	200.75610475	-81.30975325	29.33	5.22	0.67	

 	65363	7.86	200.93644026	19.09124166	20.59	4.43	0.58	

 	65429	7.24	201.16127341	83.30829016	21.62	3.91	0.7	

 	65433	7.25	201.1645261	-70.42992375	18.68	3.61	0.85	

 	65468	5.04	201.28066834	-74.88749735	14.51	0.85	1.11	

 	65470	7.89	201.29199975	-78.95209059	15.28	3.81	0.45	

 	65477	3.99	201.30589832	54.98799884	40.19	2.01	0.17	

 	65479	5.32	201.30889897	-64.48509219	25.45	2.35	0.41	

 	65515	7.29	201.44068669	56.97046608	45.76	5.59	0.8	

 	65520	11.04	201.45477509	-28.37373355	61.5	9.98	1.52	

 	65530	6.5	201.50153032	63.26073879	46.86	4.85	0.74	

